date;IMOEX
25.04.2016;1955,47
26.04.2016;1946,55
27.04.2016;1934,77
28.04.2016;1969,89
29.04.2016;1953,05
04.05.2016;1925,58
05.05.2016;1906,48
06.05.2016;1901,56
10.05.2016;1885,34
11.05.2016;1909,05
12.05.2016;1901,9
13.05.2016;1907,19
16.05.2016;1915,33
17.05.2016;1909
18.05.2016;1917,24
19.05.2016;1891,52
20.05.2016;1891,33
23.05.2016;1868,43
24.05.2016;1884,12
25.05.2016;1898,75
26.05.2016;1914,31
27.05.2016;1927,58
30.05.2016;1935,54
31.05.2016;1899,01
01.06.2016;1893,18
02.06.2016;1890,78
03.06.2016;1886,84
06.06.2016;1915,54
07.06.2016;1951,26
08.06.2016;1951,55
09.06.2016;1934,92
10.06.2016;1903,61
14.06.2016;1885,92
15.06.2016;1889,75
16.06.2016;1869,78
17.06.2016;1877,07
20.06.2016;1902,7
21.06.2016;1904,02
22.06.2016;1896,7
23.06.2016;1919,27
24.06.2016;1884,41
27.06.2016;1841,73
28.06.2016;1857,23
29.06.2016;1888,15
30.06.2016;1891,09
01.07.2016;1896,62
04.07.2016;1907,48
05.07.2016;1895,64
06.07.2016;1879,42
07.07.2016;1882,41
08.07.2016;1894,35
11.07.2016;1913,12
12.07.2016;1938,36
13.07.2016;1935,88
14.07.2016;1942,46
15.07.2016;1940,85
18.07.2016;1936,07
19.07.2016;1915,89
20.07.2016;1915,09
21.07.2016;1927,7
22.07.2016;1926,9
25.07.2016;1931,78
26.07.2016;1938,52
27.07.2016;1938,65
28.07.2016;1954,45
29.07.2016;1944,62
01.08.2016;1947,36
02.08.2016;1912,69
03.08.2016;1919,15
04.08.2016;1944,94
05.08.2016;1944,31
08.08.2016;1956,99
09.08.2016;1956,42
10.08.2016;1942,67
11.08.2016;1952,18
12.08.2016;1967,18
15.08.2016;1977,28
16.08.2016;1975,8
17.08.2016;1969,19
18.08.2016;1970,07
19.08.2016;1959,72
22.08.2016;1979,09
23.08.2016;1989,51
24.08.2016;1983,59
25.08.2016;1985,56
26.08.2016;1993,35
29.08.2016;1986,72
30.08.2016;1985,69
31.08.2016;1971,59
01.09.2016;1976,91
02.09.2016;2003,77
05.09.2016;2017,38
06.09.2016;2039,53
07.09.2016;2053,75
08.09.2016;2050,77
09.09.2016;2028,25
